0,1,2,3,4
60,0,ClassDef,OR,/sympy/build/lib/sympy/assumptions/cnf.py
64,4,FunctionDef,__init__,/sympy/build/lib/sympy/assumptions/cnf.py
67,4,FunctionDef,args,/sympy/build/lib/sympy/assumptions/cnf.py
71,4,FunctionDef,rcall,/sympy/build/lib/sympy/assumptions/cnf.py
76,4,FunctionDef,__invert__,/sympy/build/lib/sympy/assumptions/cnf.py
79,4,FunctionDef,__hash__,/sympy/build/lib/sympy/assumptions/cnf.py
82,4,FunctionDef,__eq__,/sympy/build/lib/sympy/assumptions/cnf.py
85,4,FunctionDef,__str__,/sympy/build/lib/sympy/assumptions/cnf.py
92,0,ClassDef,AND,/sympy/build/lib/sympy/assumptions/cnf.py
96,4,FunctionDef,__init__,/sympy/build/lib/sympy/assumptions/cnf.py
99,4,FunctionDef,__invert__,/sympy/build/lib/sympy/assumptions/cnf.py
102,4,FunctionDef,args,/sympy/build/lib/sympy/assumptions/cnf.py
106,4,FunctionDef,rcall,/sympy/build/lib/sympy/assumptions/cnf.py
111,4,FunctionDef,__hash__,/sympy/build/lib/sympy/assumptions/cnf.py
114,4,FunctionDef,__eq__,/sympy/build/lib/sympy/assumptions/cnf.py
117,4,FunctionDef,__str__,/sympy/build/lib/sympy/assumptions/cnf.py
124,0,FunctionDef,to_NNF,/sympy/build/lib/sympy/assumptions/cnf.py
189,0,FunctionDef,distribute_AND_over_OR,/sympy/build/lib/sympy/assumptions/cnf.py
209,0,ClassDef,CNF,/sympy/build/lib/sympy/assumptions/cnf.py
215,4,FunctionDef,__init__,/sympy/build/lib/sympy/assumptions/cnf.py
220,4,FunctionDef,add,/sympy/build/lib/sympy/assumptions/cnf.py
224,4,FunctionDef,__str__,/sympy/build/lib/sympy/assumptions/cnf.py
231,4,FunctionDef,extend,/sympy/build/lib/sympy/assumptions/cnf.py
236,4,FunctionDef,copy,/sympy/build/lib/sympy/assumptions/cnf.py
239,4,FunctionDef,add_clauses,/sympy/build/lib/sympy/assumptions/cnf.py
242,4,FunctionDef,from_prop,/sympy/build/lib/sympy/assumptions/cnf.py
248,4,FunctionDef,__iand__,/sympy/build/lib/sympy/assumptions/cnf.py
252,4,FunctionDef,all_predicates,/sympy/build/lib/sympy/assumptions/cnf.py
258,4,FunctionDef,_or,/sympy/build/lib/sympy/assumptions/cnf.py
267,4,FunctionDef,_and,/sympy/build/lib/sympy/assumptions/cnf.py
271,4,FunctionDef,_not,/sympy/build/lib/sympy/assumptions/cnf.py
285,4,FunctionDef,rcall,/sympy/build/lib/sympy/assumptions/cnf.py
295,4,FunctionDef,all_or,/sympy/build/lib/sympy/assumptions/cnf.py
302,4,FunctionDef,all_and,/sympy/build/lib/sympy/assumptions/cnf.py
309,4,FunctionDef,to_CNF,/sympy/build/lib/sympy/assumptions/cnf.py
315,4,FunctionDef,CNF_to_cnf,/sympy/build/lib/sympy/assumptions/cnf.py
321,8,FunctionDef,remove_literal,/sympy/build/lib/sympy/assumptions/cnf.py
327,0,ClassDef,EncodedCNF,/sympy/build/lib/sympy/assumptions/cnf.py
331,4,FunctionDef,__init__,/sympy/build/lib/sympy/assumptions/cnf.py
339,4,FunctionDef,from_cnf,/sympy/build/lib/sympy/assumptions/cnf.py
345,4,FunctionDef,symbols,/sympy/build/lib/sympy/assumptions/cnf.py
349,4,FunctionDef,variables,/sympy/build/lib/sympy/assumptions/cnf.py
353,4,FunctionDef,copy,/sympy/build/lib/sympy/assumptions/cnf.py
357,4,FunctionDef,add_prop,/sympy/build/lib/sympy/assumptions/cnf.py
361,4,FunctionDef,add_from_cnf,/sympy/build/lib/sympy/assumptions/cnf.py
365,4,FunctionDef,encode_arg,/sympy/build/lib/sympy/assumptions/cnf.py
377,4,FunctionDef,encode,/sympy/build/lib/sympy/assumptions/cnf.py
11,0,ClassDef,AskFiniteHandler,/sympy/build/lib/sympy/assumptions/handlers/calculus.py
30,4,FunctionDef,Symbol,/sympy/build/lib/sympy/assumptions/handlers/calculus.py
54,4,FunctionDef,Add,/sympy/build/lib/sympy/assumptions/handlers/calculus.py
140,4,FunctionDef,Mul,/sympy/build/lib/sympy/assumptions/handlers/calculus.py
196,4,FunctionDef,Pow,/sympy/build/lib/sympy/assumptions/handlers/calculus.py
221,4,FunctionDef,log,/sympy/build/lib/sympy/assumptions/handlers/calculus.py
6,0,ClassDef,AskHandler,/sympy/build/lib/sympy/assumptions/handlers/common.py
11,0,ClassDef,CommonHandler,/sympy/build/lib/sympy/assumptions/handlers/common.py
14,4,FunctionDef,AlwaysTrue,/sympy/build/lib/sympy/assumptions/handlers/common.py
18,4,FunctionDef,AlwaysFalse,/sympy/build/lib/sympy/assumptions/handlers/common.py
22,4,FunctionDef,AlwaysNone,/sympy/build/lib/sympy/assumptions/handlers/common.py
29,0,ClassDef,AskCommutativeHandler,/sympy/build/lib/sympy/assumptions/handlers/common.py
34,4,FunctionDef,Symbol,/sympy/build/lib/sympy/assumptions/handlers/common.py
46,4,FunctionDef,Basic,/sympy/build/lib/sympy/assumptions/handlers/common.py
53,4,FunctionDef,Number,/sympy/build/lib/sympy/assumptions/handlers/common.py
57,4,FunctionDef,,/sympy/build/lib/sympy/assumptions/handlers/common.py
62,0,ClassDef,TautologicalHandler,/sympy/build/lib/sympy/assumptions/handlers/common.py
65,4,FunctionDef,bool,/sympy/build/lib/sympy/assumptions/handlers/common.py
72,4,FunctionDef,AppliedPredicate,/sympy/build/lib/sympy/assumptions/handlers/common.py
76,4,FunctionDef,Not,/sympy/build/lib/sympy/assumptions/handlers/common.py
84,4,FunctionDef,Or,/sympy/build/lib/sympy/assumptions/handlers/common.py
95,4,FunctionDef,And,/sympy/build/lib/sympy/assumptions/handlers/common.py
106,4,FunctionDef,Implies,/sympy/build/lib/sympy/assumptions/handlers/common.py
111,4,FunctionDef,Equivalent,/sympy/build/lib/sympy/assumptions/handlers/common.py
124,0,FunctionDef,test_closed_group,/sympy/build/lib/sympy/assumptions/handlers/common.py
16,0,FunctionDef,_Factorization,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
20,0,ClassDef,AskSquareHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
25,4,FunctionDef,MatrixExpr,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
30,0,ClassDef,AskSymmetricHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
35,4,FunctionDef,MatMul,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
49,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
62,4,FunctionDef,MatAdd,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
66,4,FunctionDef,MatrixSymbol,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
77,4,FunctionDef,ZeroMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
83,4,FunctionDef,Transpose,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
89,4,FunctionDef,MatrixSlice,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
103,0,ClassDef,AskInvertibleHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
108,4,FunctionDef,MatMul,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
117,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
128,4,FunctionDef,MatAdd,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
132,4,FunctionDef,MatrixSymbol,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
143,4,FunctionDef,OneMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
147,4,FunctionDef,Transpose,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
151,4,FunctionDef,MatrixSlice,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
158,4,FunctionDef,MatrixBase,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
164,4,FunctionDef,MatrixExpr,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
170,4,FunctionDef,BlockMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
198,4,FunctionDef,BlockDiagMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
205,0,ClassDef,AskOrthogonalHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
211,4,FunctionDef,MatMul,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
221,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
230,4,FunctionDef,MatAdd,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
236,4,FunctionDef,MatrixSymbol,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
248,4,FunctionDef,Transpose,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
254,4,FunctionDef,MatrixSlice,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
263,0,ClassDef,AskUnitaryHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
269,4,FunctionDef,MatMul,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
279,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
288,4,FunctionDef,MatrixSymbol,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
296,4,FunctionDef,Transpose,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
302,4,FunctionDef,MatrixSlice,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
309,4,FunctionDef,DFT,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
319,0,ClassDef,AskFullRankHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
324,4,FunctionDef,MatMul,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
329,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
342,4,FunctionDef,OneMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
346,4,FunctionDef,Transpose,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
352,4,FunctionDef,MatrixSlice,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
357,0,ClassDef,AskPositiveDefiniteHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
362,4,FunctionDef,MatMul,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
374,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
380,4,FunctionDef,MatAdd,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
386,4,FunctionDef,MatrixSymbol,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
397,4,FunctionDef,OneMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
401,4,FunctionDef,Transpose,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
407,4,FunctionDef,MatrixSlice,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
414,0,ClassDef,AskUpperTriangularHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
419,4,FunctionDef,MatMul,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
425,4,FunctionDef,MatAdd,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
430,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
443,4,FunctionDef,MatrixSymbol,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
450,4,FunctionDef,OneMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
454,4,FunctionDef,Transpose,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
458,4,FunctionDef,Inverse,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
