line_no,col_offset,type,name,file_name
104,34,Num,1000000,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
104,19,call,random.randint,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
104,15,call,str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
104,4,Assign,"([<_ast.Name object at 0x805182250>], <_ast.Call object at 0x805182210>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
105,4,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
105,4,call,logger.info,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
105,43,BinOp,"(<_ast.BinOp object at 0x80518e150>, <_ast.Add object at 0x80101f750>, <_ast.Str object at 0x80518e810>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
105,16,BinOp,"(<_ast.Str object at 0x80518ed90>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x80518eb10>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
106,4,Assign,"([<_ast.Name object at 0x80518e9d0>], <_ast.List object at 0x80518e550>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
107,4,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
107,4,call,logger.debug,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
107,17,BinOp,"(<_ast.Str object at 0x80518ef50>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x80518ee10>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
109,8,Assign,"([<_ast.Name object at 0x80518ecd0>], <_ast.Call object at 0x80518e990>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
109,19,call,parse_latex,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
111,8,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
111,8,call,logger.error,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
112,14,call,Exception,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
112,24,BinOp,"(<_ast.Str object at 0x80518e710>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x80518e890>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
114,8,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
114,8,call,logger.error,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
115,14,call,Exception,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
115,24,BinOp,"(<_ast.Str object at 0x80518e510>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x80518e950>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
117,16,call,symp_lat.atoms,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
